번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
,,,,정보통신기반 보호법,제12조,
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제48조, 제70조의2, 제71조",
,,,,지능형전력망의 구축 및 이용촉진에 관한 법률,제29조,
,,,,형사소송법,제325조,
49,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2017노262,2017. 8. 30.,,제325조,
50,상해(가정폭력범죄의 처벌 등에 관한 특례법 제37조 제1항 제1호의 불처분결정을 받아 확정된 후 다시 같은 범죄사실에 대하여 공소가 제기된 사건),2016도5423,2017. 8. 23.,가정폭력범죄의 처벌 등에 관한 특례법,"제9조, 제16조, 제17조, 제37조, 제46조","[1] 헌법 제13조 제1항에 규정된 이중처벌금지의 원칙 내지 일사부재리의 원칙의 의미 / 가정폭력범죄의 처벌 등에 관한 특례법 제37조 제1항 제1호의 불처분결정이 확정된 후에 검사가 동일한 범죄사실에 대하여 다시 공소를 제기하였거나 법원이 이에 대하여 유죄판결을 선고한 경우, 이중처벌금지의 원칙 내지 일사부재리의 원칙에 위배되는지 여부(소극)
[2] 기소편의주의에 따른 검사의 소추재량이 내재적 한계를 가지는지 여부(적극) / 검사의 공소권 행사를 공소권의 남용으로 보아 공소제기의 효력을 부인할 수 있는 경우"
,,,,대한민국헌법,제13조,
,,,,형법,제51조,
,,,,형사소송법,"제246조, 제247조, 제326조, 제327조",
51,약정금,2016나2027557,2017. 8. 17.,,"제246조, 제247조, 제326조, 제327조",
52,국민체육진흥법위반(도박개장등)·도박공간개설·국민체육진흥법위반(도박등)·상습도박·신용정보의이용및보호에관한법률위반교사·위헌법률심판제청,2016노5445,2017. 7. 18.,,"제246조, 제247조, 제326조, 제327조",
53,특정범죄가중처벌등에관한법률위반(뇌물)·개인정보보호법위반·정보통신망이용촉진및정보보호등에관한법률위반·부정경쟁방지및영업비밀보호에관한법률위반(영업비밀누설등)·공무상비밀누설·뇌물공여·제3자뇌물교부·범죄수익은닉의규제및처벌등에관한법률위반,2017도4240,2017. 6. 19.,대한민국헌법,제12조,"[1] 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조에 규정된 ‘정보통신망에 의하여 처리·보관 또는 전송되는 타인의 비밀 누설’에 해당하는 행위의 범위
[2] 공무원 등의 직무상 비밀 누설행위와 대향범 관계에 있는 ‘직무상 비밀을 누설받은 자’에 대하여 공범에 관한 형법총칙 규정이 적용되는지 여부(소극) 및 위와 같은 법리가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조의 경우에도 마찬가지로 적용되는지 여부(적극)"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제1조, 제28조의2, 제49조, 제71조",
,,,,형법,"제1조, 제30조, 제31조, 제32조, 제127조",
54,국가보안법위반(찬양·고무등)·국가보안법위반(회합·통신등)·국가보안법위반(편의제공)·국가보안법위반(자진지원·금품수수),2017노23,2017. 6. 13.,,"제1조, 제30조, 제31조, 제32조, 제127조",
55,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)(인정된죄명:명예훼손),2017도5122,2017. 6. 8.,형사소송규칙,제142조,"[1] 형사소송규칙 제142조 제1항, 제5항의 규정 취지 및 검사가 형사소송규칙 제142조 제1항에 따라 서면으로 공소장변경신청을 하는 경우, 같은 조 제5항이 적용될 여지가 있는지 여부(소극)
[2] 공판조서의 증명력"
,,,,형사소송법,"제56조, 제298조",
56,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2016고정3950,2017. 4. 14.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"인터넷 커뮤니티 포털사이트를 운영하는 甲 주식회사의 임직원인 피고인들이, ‘전자상거래 쇼핑몰 업체인 乙 주식회사는 배송 근로자들을 착취하는 비도덕적인 기업’이라는 취지로 제3자가 인터넷상에 게재한 허위 내용의 글을 옮겨와 다른 인터넷 사이트 게시판에 작성·게시함으로써 乙 회사의 명예를 훼손하였다고 하여 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반으로 기소된 사안에서, 피고인들에게 적어도 허위의 사실을 게재한다는 점에 대한 미필적인 고의가 있었고, 乙 회사를 비방할 목적도 있었다는 이유로 유죄를 선고한 사례"
,,,,형법,제13조,
57,개인정보보호법위반ㆍ정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등)(이른바 '경품 응모권 1mm 글씨 고지' 등 관련 형사사건),2016도13263,2017. 4. 7.,개인정보 보호법,"제1조, 제3조, 제15조, 제16조, 제17조, 제22조, 제26조, 제59조, 제71조, 제72조","[1] 개인정보 보호법 제72조 제2호에 규정된 ‘거짓이나 그 밖의 부정한 수단이나 방법’의 의미 및 거짓이나 그 밖의 부정한 수단이나 방법으로 개인정보를 취득하거나 그 처리에 관한 동의를 받았는지 판단하는 방법
[2] 개인정보 보호법 제17조와 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제24조의2에서 말하는 개인정보의 ‘제3자 제공’의 의미 및 개인정보 보호법 제26조와 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제25조에서 말하는 개인정보의 ‘처리위탁’의 의미 / 개인정보 처리위탁에 있어 수탁자가 개인정보 보호법 제17조와 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제24조의2에 정한 ‘제3자’에 해당하는지 여부(소극) / 어떠한 행위가 개인정보의 제공인지 아니면 처리위탁인지 판단하는 기준"
,,,,대한민국헌법,"제10조, 제17조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제24조의2, 제25조, 제71조",
58,특정범죄가중처벌등에관한법률위반(조세)·조세범처벌법위반,2016도19704,2017. 4. 7.,부가가치세법,"제2조, 제4조","[1] 스포츠 도박 사업자가 정보통신망에 구축된 시스템 등을 통하여 고객들에게 도박에 참여할 수 있는 기회를 제공하고 이에 대한 대가로서 금전을 지급받는 행위가 부가가치세 과세대상인지 여부(적극)
[2] 피고인 등이 공모하여 유사 체육진흥투표권을 발행·판매하는 사설 스포츠 도박 인터넷사이트를 개설·운영하면서 매출액을 관할 세무서에 신고하지 않는 방법으로 부가가치세를 포탈하였다고 하여 특정범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서, 피고인은 유사 체육진흥투표권을 발행·판매함으로써 구매자들에게 당첨금을 지급받을 수 있는 기회를 부여하고 그에 대한 대가를 지급받은 것이므로 부가가치세 과세대상 거래에 해당한다고 한 사례
[3] 피고인 등이 공모하여 사설 스포츠 도박 인터넷사이트를 개설·운영하면서 발생한 소득을 관할 세무서에 신고하지 않는 방법으로 종합소득세를 포탈하였다고 하여 조세범 처벌법 위반으로 기소된 사안에서, 신고납부방식의 조세인 종합소득세를 포탈한 경우 납부기한 후에 몰수나 추징의 집행이라는 후발적 사유가 발생하여 당초의 부과처분을 경정하더라도 조세포탈죄의 성립에 영향을 미치지 않는다고 한 사례"
,,,,조세범 처벌법,제3조,
,,,,특정범죄 가중처벌 등에 관한 법률,제8조,
,,,,형법,제30조,
59,손해배상(기),2016나2087313,2017. 3. 30.,민법,"제750조, 제760조","甲이 인터넷 사이트를 개설한 후 해외 동영상 공유 사이트에 저작권자인 乙 방송사 등의 허락을 받지 않고 게시된 방송 프로그램에 대한 임베디드 링크(embedded link)를 게재하여 이용자들이 무료로 시청할 수 있도록 한 사안에서, 甲의 링크행위는 乙 방송사 등의 전송권을 직접 침해하는 행위로는 보기 어려우나, 해외 동영상 공유 사이트 게시자의 공중송신권(전송권) 침해행위에 대한 방조에는 해당한다고 한 사례"
,,,,저작권법,"제2조, 제10조, 제18조, 제102조",
60,이행강제금부과처분취소,2016두60577,2017. 3. 9.,행정소송법,제20조,"[1] 행정처분의 효력발생요건으로서 도달의 의미
[2] 행정소송법 제20조 제1항이 정한 제소기간 기산점인 ‘처분 등이 있음을 안 날’의 의미 / 사회통념상 처분이 있음을 처분상대방이 알 수 있는 상태에 놓인 때에 처분상대방이 처분이 있음을 알았다고 추정할 수 있는지 여부(원칙적 적극) 및 우편물이 등기취급의 방법으로 발송된 경우 그 무렵 수취인에게 배달되었다고 추정할 수 있는지 여부(원칙적 적극)"
,,,,행정절차법,제14조,
61,특정범죄가중처벌등에관한법률위반(뇌물)·개인정보보호법위반·정보통신망이용촉진및정보보호등에관한법률위반·부정경쟁방지및영업비밀보호에관한법률위반(영업비밀누설등)·공무상비밀누설·뇌물공여·제3자뇌물교부·범죄수익은닉의규제및처벌등에관한법률위반,2016노2667,2017. 3. 2.,,제14조,
62,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·정보통신망이용촉진및정보보호등에관한법률위반,2016노4877,2017. 2. 15.,,제14조,
63,약정금등·손해배상(기),2014다19776,2017. 2. 15.,민법,"제2조, 제105조, 제496조","[1] 처분문서에 나타난 당사자 의사의 해석 방법
[2] 신의성실의 원칙의 의미 및 이 원칙에 반한다는 이유로 권리행사를 부정하기 위한 요건
[3] 이동전화사업자인 甲 주식회사가 유선전화사업자인 乙 주식회사와 체결한 협정에 따라 乙 회사가 요청한 방식의 접속을 제공하여 자신의 접속설비를 최소한도로 이용할 수 있도록 할 의무가 있는데도 이를 거부하여 乙 회사로 하여금 甲 회사의 거부행위가 없었다면 요청한 방식의 접속을 제공받았을 시점 이후에도 계속 우회접속방식으로 접속하여 우회구간에 대한 추가적인 접속설비를 이용하도록 하면서 그로 인한 추가 접속통화료의 지급을 청구한 사안에서, 위 청구를 허용하는 것은 신의성실의 원칙에 비추어 타당하지 않다고 한 사례
[4] 의사표시를 한 사람이 생각한 의미가 상대방이 생각한 의미와 다른 경우, 의사표시를 해석하는 방법
[5] 민법 제496조의 규정 취지 및 이 규정이 고의의 채무불이행으로 인한 손해배상채권을 수동채권으로 하는 상계에 적용되는지 여부(원칙적 소극) / 고의에 의한 행위가 불법행위와 채무불이행을 동시에 구성하여 불법행위로 인한 손해배상채권과 채무불이행으로 인한 손해배상채권이 경합하는 경우, 위 규정이 유추적용되어 채무자는 고의의 채무불이행으로 인한 손해배상채권을 수동채권으로 하여 상계하더라도 채권자에게 대항할 수 없는지 여부(적극)"
,,,,민사소송법,제1조,
64,국민체육진흥법위반(도박개장등)·도박공간개설,2016도18119,2017. 1. 12.,국민체육진흥법,"제26조, 제47조, 제48조, 제49조","2012. 2. 17. 법률 제11309호로 개정된 국민체육진흥법 제26조가 제1항에서 ‘유사행위’를 금지하는 외에, 제2항에 유사행위와 관련한 각 호의 행위를 금지하는 조항을 신설한 취지 / 국민체육진흥법 제26조 제1항 위반죄의 공범에 해당하는 사람이 실행행위로서 제2항 각 호의 행위를 한 경우, 공범에 관한 형법 총칙 규정에 따라 같은 조 제1항 위반죄의 공범이 성립하고, 같은 조 제2항 위반죄는 이에 흡수되는지 여부(적극)"
,,,,형법,제30조,
65,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·개인정보보호법위반,2016도11138,2016. 12. 29.,형사소송규칙,제142조,"검사가 구술로 공소장변경허가신청을 하면서 변경하려는 공소사실의 일부만 진술하고 나머지는 전자적 형태의 문서로 저장한 저장매체를 제출한 경우, 공소장변경허가신청의 범위(=공소사실의 내용을 구체적으로 진술한 부분) 및 이때 법원이 저장매체에 저장된 전자적 형태의 문서 부분에 대해서까지 공소장변경허가를 한 경우, 적법하게 공소장변경이 된 것인지 여부(소극)"
,,,,형사소송법,"제57조, 제254조, 제266조, 제298조, 제327조",
66,모욕·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2014도15290,2016. 12. 27.,대한민국헌법,제21조,국가나 지방자치단체가 명예훼손죄 또는 모욕죄의 피해자가 될 수 있는지 여부(소극)
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,
,,,,형법,"제307조, 제311조",
67,국가보안법위반(찬양·고무등)·국가보안법위반(회합·통신등)·국가보안법위반(편의제공)·국가보안법위반(자진지원·금품수수),2016고합538,2016. 12. 15.,,"제307조, 제311조",
68,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행),2016노2386,2016. 12. 2.,,"제307조, 제311조",
69,부당이득금,2016나50622,2016. 11. 24.,,"제307조, 제311조",
70,정보공개거부처분취소,2016두44674,2016. 11. 10.,공공기관의 정보공개에 관한 법률,"제10조, 제15조","정보공개 청구인에게 특정한 정보공개방법을 지정하여 청구할 수 있는 법령상 신청권이 있는지 여부(적극) / 공공기관이 공개청구의 대상이 된 정보를 청구인이 신청한 공개방법 이외의 방법으로 공개하기로 하는 결정을 한 경우, 정보공개방법에 관한 부분에 대하여 일부 거부처분을 한 것인지 여부(적극) 및 이에 대하여 항고소송으로 다툴 수 있는지 여부(적극)"
,,,,공공기관의 정보공개에 관한 법률 시행령,제14조,
71,출판물에의한명예훼손,2016노287,2016. 11. 3.,,제14조,
72,이행강제금부과처분취소,2016누21589,2016. 10. 21.,,제14조,
73,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2016도6172,2016. 10. 13.,성폭력범죄의 처벌 등에 관한 특례법,제14조,성폭력범죄의 처벌 등에 관한 특례법 제14조 제1항 후단의 입법 취지 및 위 조항에서 ‘타인의 신체를 그 의사에 반하여 촬영한 촬영물’을 반포·판매·임대 또는 공연히 전시·상영한 자가 반드시 촬영물을 촬영한 자와 동일인이어야 하는지 여부(소극)
74,손해배상(기),2014가합511956,2016. 10. 13.,,제14조,
75,개인정보보호법위반,2016노223,2016. 8. 12.,,제14조,
76,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강제추행),2015고합331,2016. 7. 21.,,제14조,
77,시정조치등취소(인터넷 사이트에서 개인정보를 수집하면서 적법한 동의를 받았는지 문제 된 사건),2014두2638,2016. 6. 28.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제22조, 제24조의2, 제26조의2","[1] 정보통신서비스 제공자가 이용자에게서 개인정보 수집·제공에 관하여 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따라 적법한 동의를 받기 위한 요건
[2] 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따른 정보통신서비스 제공자인 甲 주식회사가 오픈마켓 등 웹사이트의 배너 및 이벤트 광고 팝업창을 통하여 개인정보 수집 항목 및 목적, 보유기간에 대한 안내 없이 ‘확인’을 선택하면 동의한 것으로 간주하는 방법으로 명시적인 동의를 받지 않고 이용자 개인정보를 수집하여 보험사 등에 제공하였다는 이유로 방송통신위원회가 甲 회사에 시정조치 등을 한 사안에서, 甲 회사가 이벤트 화면을 통하여 이용자의 개인정보 수집 등을 하면서 위 법률에 따른 개인정보의 수집·제3자 제공에 필요한 이용자의 적법한 동의를 받지 않았다고 본 원심판단이 정당하다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행령,제12조,
78,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·개인정보보호법위반,2016노336,2016. 6. 24.,,제12조,
79,특정범죄가중처벌등에관한법률위반(뇌물)(인정된죄명:수뢰후부정처사·부정처사후수뢰·부정처사후뇌물수수약속)·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·뇌물공여약속·뇌물공여·뇌물공여의사표시,2016도3753,2016. 6. 23.,지방공기업법,제83조,"[1] 뇌물약속죄에서 뇌물의 약속의 성립 시기 및 뇌물의 목적물인 이익의 가액이 확정되어 있어야 하는지 여부(소극) / 뇌물약속죄 또는 부정처사후 뇌물약속죄를 범한 데 대하여 특정범죄 가중처벌 등에 관한 법률 제2조 제1항 제1호를 적용할 경우, 뇌물의 가액을 인정할 때 유의할 사항
[2] 지방공기업법 제83조에 따라 공무원으로 의제되는 지방공사 임직원이 직무와 관련 있는 사람에게서 금품 기타 이익을 받은 경우, 직무관련성 유무(원칙적 적극) 및 뇌물성
[3] 형사소송법 제308조에서 규정하는 자유심증주의의 의미와 한계"
,,,,특정범죄 가중처벌 등에 관한 법률,제2조,
,,,,형법,"제129조, 제131조, 제133조",
,,,,형사소송법,"제307조, 제308조",
80,개인정보보호법위반·개인정보보호법위반방조·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)·국가기술자격법위반,2015노3926,2016. 5. 27.,,"제307조, 제308조",
81,정보공개거부처분취소,2015누72117,2016. 5. 20.,,"제307조, 제308조",
82,영업시간제한등처분취소,2015누2101,2016. 3. 23.,,"제307조, 제308조",
83,손해배상(기),2012다105482,2016. 3. 10.,대한민국헌법,"제10조, 제17조, 제21조, 제37조","[1] 개인정보자기결정권의 보호대상이 되는 개인정보의 의미와 공적 생활에서 형성되었거나 이미 공개된 개인정보가 이에 포함되는지 여부(적극) 및 익명표현의 자유가 헌법 제21조에서 보장하는 표현의 자유의 보호영역에 포함되는지 여부(적극) / 개인정보자기결정권이나 익명표현의 자유가 헌법 제37조 제2항에 따라 법률로써 제한될 수 있는지 여부(적극)
[2] 전기통신사업자가 검사 또는 수사관서의 장의 요청에 따라 구 전기통신사업법 제54조 제3항, 제4항에서 정한 형식적·절차적 요건을 심사하여 이용자의 통신자료를 제공한 경우, 이용자의 개인정보자기결정권이나 익명표현의 자유 등을 위법하게 침해한 것으로 볼 수 있는지 여부(원칙적 소극)"
,,,,민법,"제750조, 제751조",
,,,,전기통신사업법,제83조,
,,,,통신비밀보호법,"제2조, 제6조, 제9조, 제13조",
,,,,형사소송법,"제106조, 제107조, 제198조, 제219조",
84,개인정보보호법위반,2015고단510,2016. 1. 8.,,"제106조, 제107조, 제198조, 제219조",
85,손해배상(기),2015나2003264,2015. 12. 18.,,"제106조, 제107조, 제198조, 제219조",
86,특정경제범죄가중처벌등에관한법률위반(횡령)·자본시장과금융투자업에관한법률위반·횡령,2014고합271,2015. 12. 3.,,"제106조, 제107조, 제198조, 제219조",
87,서면사과처분취소,2015구합50522,2015. 11. 19.,대한민국헌법,"제10조, 제19조","고등학교 1학년 학생인 甲이 같은 반 학생 5명과 함께 같은 반 학생 乙에게 따돌림 등 학교폭력(집단 괴롭힘)을 행사하였다는 이유로 학교장이 학교폭력대책자치위원회의 의결에 따라 甲에게 서면사과 처분을 하자 甲이 처분의 취소를 구한 사안에서, 甲의 청구를 기각한 사례"
,,,,학교폭력예방 및 대책에 관한 법률,"제2조, 제17조",
88,임차권양도에대한동의,2015나2006430,2015. 11. 11.,,"제2조, 제17조",
89,정보공개거부처분취소,2015구합7000,2015. 11. 10.,,"제2조, 제17조",
90,손해배상(기)등,2014가합38116,2015. 10. 16.,국제사법,"제25조, 제27조","甲 외국법인이 인터넷을 기반으로 하여 전 세계적으로 제공하는 검색, 이메일 등의 서비스에 가입한 乙 등이 甲 법인을 상대로 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제30조 제2항, 제4항에 따라 甲 법인이 乙 등의 개인정보 및 서비스 이용 내역을 제3자에게 제공한 현황의 공개 등을 구한 사안에서, 乙 등과 甲 법인 사이의 서비스 이용에 관한 법률관계에는 서비스 약관상 준거법 합의가 있더라도 정보통신망 이용촉진 및 정보보호 등에 관한 법률상 이용자의 권리보호에 관한 규정들이 적용되고, 甲 법인은 법령에 의하여 비공개 의무가 부과된 사항을 제외하고 乙 등의 개인정보 및 서비스 이용 내역을 제3자에게 제공하였는지와 그 내용을 공개할 의무가 있다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제30조,
91,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·공직선거법위반,2015도1098,2015. 10. 15.,공직선거법,"제59조, 제93조, 제255조, 제256조","[1] 공직선거법 제59조 제2호에 의하여 제한되는 행위를 선거일 전 180일부터 선거일까지 선거에 영향을 미치게 하기 위하여 한 경우, 제256조 제3항 제1호 (나)목 위반죄가 성립하지 않더라도, 제93조 제1항에서 정한 탈법방법에 의한 문서배부 행위로서 제255조 제2항 제5호 위반죄가 성립하는지 여부(적극)
[2] 제주특별자치도의회 교육의원 선거에 후보자로 등록한 피고인이 중앙선거관리위원회규칙에 따라 신고하지 아니한 전화번호를 사용하여 선거일 전 180일부터 선거일까지 3차례에 걸쳐 다수의 학부모에게 자동 동보통신의 방법으로 문자메시지를 전송하여 공직선거법 위반으로 기소된 사안에서, 문자메시지 전송행위는 공직선거법 제59조 제2호에서 정하고 있는 제한을 위반한 경우이므로, 공직선거법 제255조 제2항 제5호에서 규정한 탈법방법에 의한 문서배부죄가 성립한다고 한 사례"
92,아동·청소년의성보호에관한법률위반(알선영업행위등)·성매매약취·상해·공갈·재물손괴·폭력행위등처벌에관한법률위반(공동폭행)·폭행·아동·청소년의성보호에관한법률위반(강요행위등)·배상명령신청,2015노163,2015. 9. 23.,,"제59조, 제93조, 제255조, 제256조",
93,폭력행위등처벌에관한법률위반(집단·흉기등상해)·폭력행위등처벌에관한법률위반(집단·흉기등주거침입)·폭력행위등처벌에관한법률위반(집단·흉기등재물손괴등)·업무방해·폭력행위등처벌에관한법률위반(공동주거침입)·폭력행위등처벌에관한법률위반(공동상해)·폭력행위등처벌에관한법률위반(공동재물손괴등)·건조물침입·퇴거불응·정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2015도3467,2015. 8. 27.,형사소송법,"제56조, 제307조, 제313조, 제318조","[1] 증거동의가 있는 서류 또는 물건의 증거능력을 인정하는 방법 / 증거동의의 의사표시를 취소·철회할 수 있는 시기(=증거조사 완료 전까지)
[2] 증거에 관한 피고인의 의견이 기재된 증거목록의 증명력
[3] 디지털 저장매체에 저장된 로그파일 복사본의 일부 내용을 요약·정리하는 방식으로 새로운 문서파일이 작성된 경우, 문서파일 또는 거기에서 출력한 문서를 로그파일 원본의 내용을 증명하는 증거로 사용하기 위한 요건 / 이때 새로운 문서파일 또는 거기에서 출력한 문서를 진술증거로 사용하는 경우의 증거능력"
94,공직선거법위반,2015도5789,2015. 8. 19.,공직선거법,"제59조, 제93조, 제255조, 제256조","[1] 인터넷 이용자가 링크 부분을 클릭함으로써 링크된 웹페이지나 개개의 게시물에 직접 연결되는 경우, 링크를 하는 행위가 게시물의 전송에 해당하는지 여부(소극) / 이러한 법리는 휴대전화 문자메시지에 링크 글을 기재함으로써 수신자가 링크 부분을 클릭하면 링크된 게시물에 연결되도록 한 경우에도 마찬가지로 적용되는지 여부(적극)
[2] 공직선거법 제59조 단서 제2호, 제3호가 신설되어 문자메시지를 전송하는 방법으로 선거운동을 하는 것이 허용되었는데도, 자동 동보통신의 방법으로 휴대전화 문자메시지를 대량으로 전송한 행위가 공직선거법 제255조 제2항 제5호, 제93조 제1항의 구성요건에 해당하는지 여부(적극)"
95,손해배상(기)등,2014나45296,2015. 6. 19.,,"제59조, 제93조, 제255조, 제256조",
96,아동·청소년의성보호에관한법률위반(알선영업행위등)·성매매약취·상해·공갈·재물손괴·폭력행위등처벌에관한법률위반(공동폭행)·폭행,2014고합266,2015. 4. 30.,,"제59조, 제93조, 제255조, 제256조",
97,공직선거법위반,2015노98,2015. 4. 16.,,"제59조, 제93조, 제255조, 제256조",
98,취급거부명령처분취소,2012두26432,2015. 3. 26.,국가정보화 기본법,제3조,"[1] 웹사이트가 ‘국가보안법에서 금지하는 행위를 수행하는 내용의 정보’에 해당하고 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제44조의7 제3항이 정한 나머지 요건을 충족하는 경우, 방송통신위원회가 ‘해당 정보에 대한 취급 거부’로서 웹사이트의 웹호스팅 서비스 중단을 명할 수 있는지 여부(적극)
[2] 개별 정보의 집합체인 웹사이트 자체를 대상으로 삼아 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제44조의7 제3항에 따라 취급 거부 등을 명하기 위한 요건"
,,,,전기통신사업법,제2조,
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제44조의7",
99,공개청구의소,2011다76617,2015. 2. 12.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제1조, 제5조, 제30조","[1] 전기통신사업자는 수사종료 여부와 관계없이 통신비밀보호법 제13조의5, 제11조 제2항에 따라 전기통신 이용자를 포함한 외부에 대하여 통신사실 확인자료 제공 사항을 공개·누설하지 말아야 할 의무를 계속하여 부담하는지 여부(적극) 및 이용자의 공개 요구에도 응할 의무가 없는지 여부(적극)
[2] 전기통신사업자가 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제30조 제2항 제2호, 제4항에 기한 이용자의 이메일 압수·수색 사항의 열람·제공 요구에 응할 의무가 있는지 여부(소극)"
,,,,통신비밀보호법,"제1조, 제2조, 제9조의3, 제11조, 제12조, 제13조, 제13조의3, 제13조의5",
,,,,형사소송법,"제106조, 제122조, 제219조",
100,손해배상(기)·손해배상(기),2013다43994,2015. 2. 12.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제28조,"[1] 정보통신서비스제공자가 이용자의 개인정보 등의 안전성 확보에 필요한 조치를 취하여야 할 법률상 또는 정보통신서비스 이용계약상의 의무를 부담하는지 여부
[2] 정보통신서비스제공자가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제28조 제1항이나 정보통신서비스 이용계약에 따른 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였는지 판단하는 기준 / 정보통신서비스제공자가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행규칙에 따라 정보통신부장관이 마련한 ‘개인정보의 기술적·관리적 보호조치 기준’에서 정하고 있는 기술적·관리적 보호조치를 다한 경우, 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였다고 볼 수 있는지 여부(원칙적 소극)"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행령,제15조,
101,공직선거법위반,2014고합616,2015. 2. 6.,,제15조,
102,게임산업진흥에관한법률위반·도박개장,2014노4186,2015. 2. 5.,,제15조,
103,내란음모·국가보안법위반(찬양·고무등)·내란선동,2014도10978,2015. 1. 22.,대한민국헌법,"제12조, 제21조","[1] 압수·수색영장의 제시가 현실적으로 불가능한 경우, 영장제시 없이 이루어진 압수·수색의 적법 여부(적극)
[2] 통신비밀보호법 제9조 제1항 후문 등에서 통신기관 등에 대한 집행위탁이나 협조요청 및 대장 비치의무 등을 규정하고 있는 취지 / ‘대화의 녹음·청취’를 집행주체가 제3자에게 집행을 위탁하거나 그로부터 협조를 받아 할 수 있는 경우 및 이때 통신기관 등이 아닌 일반 사인(私人)에게 대장을 작성하여 비치할 의무가 있는지 여부(소극)
[3] 대화 내용을 녹음한 파일 등 전자매체의 증거능력을 인정하기 위한 요건 / 증거로 제출된 녹음파일의 증거능력을 판단하는 기준
[4] 내란선동죄의 성립 요건
[5] 특정 정당 소속의 국회의원 피고인 甲 및 지역위원장 피고인 乙이 공모하여, 이른바 조직원들과 두 차례 회합을 통하여 회합 참석자 130여 명에게 한반도에서 전쟁이 발발하는 등 유사시에 상부 명령이 내려지면 바로 전국 각 권역에서 국가기간시설 파괴 등 폭동을 할 것을 주장함으로써 내란죄를 범할 것을 선동하였다는 내용으로 기소된 사안에서, 피고인들에게 유죄를 인정한 원심판단을 정당하다고 한 사례
[6] 내란음모죄의 성립 요건
[7] 특정 정당 소속의 국회의원 피고인 甲 및 지역위원장 피고인 乙을 비롯한 피고인들이, 이른바 조직원들과 회합을 통하여 회합 참석자 130여 명과 한반도에서 전쟁이 발발하는 등 유사시에 상부 명령이 내려지면 바로 전국 각 권역에서 국가기간시설 파괴 등 폭동할 것을 통모함으로써 내란죄를 범할 목적으로 음모하였다는 내용으로 기소된 사안에서, 피고인들에게 무죄를 선고한 원심판단을 정당하다고 한 사례"
,,,,통신비밀보호법,"제9조, 제14조, 제17조",
,,,,형법,"제1조, 제28조, 제30조, 제87조, 제90조, 제91조",
,,,,형사소송법,"제118조, 제219조, 제307조, 제308조, 제311조, 제312조, 제313조, 제325조",
